Date,China,Hong-Kong,Indonesia,Japan,South_Korea,Malaysia,Phillipines,Singapore,Taiwan,Thailand,Vietnam
09/2020,-1.260,-2.516,-6.058,0.110,1.237,-0.903,-0.339,-1.363,0.769,-4.387,0.998
10/2020,2.231,-0.529,3.589,-0.706,0.278,-0.732,3.308,-1.287,0.562,-1.020,2.786
11/2020,1.181,4.484,5.987,5.104,7.146,3.038,3.165,7.359,4.149,9.649,2.281
12/2020,1.178,2.138,2.332,1.711,6.306,1.582,2.189,1.143,4.254,1.217,3.241
01/2021,3.085,0.856,-1.216,-0.439,0.246,-1.845,-3.608,0.388,2.743,0.023,-1.417
02/2021,-0.455,1.995,0.620,0.637,0.086,0.036,0.800,1.113,1.953,0.670,3.362
03/2021,-2.821,0.002,-2.918,0.149,0.044,-1.469,-2.245,2.140,-0.267,0.783,-0.057
04/2021,0.573,1.319,-0.376,-0.667,1.270,1.435,-0.090,1.170,3.213,-0.605,3.361
05/2021,0.238,0.213,0.482,0.638,0.180,-1.095,2.293,-0.405,-0.522,-0.387,1.390
06/2021,-0.154,-0.914,-2.990,-0.167,0.539,-1.853,0.856,-1.130,0.177,-1.484,2.027
07/2021,-6.625,-1.267,-0.908,-0.557,-2.553,-1.781,-5.407,0.570,-1.280,-3.120,-2.786
08/2021,-0.028,-0.445,3.292,1.298,-0.697,3.461,4.539,-1.042,1.656,4.506,0.805
09/2021,-2.302,-2.885,1.409,0.885,-3.012,-2.166,-0.862,-0.073,-1.949,-3.389,0.407
10/2021,1.340,0.537,3.449,-1.490,-1.015,1.002,1.407,1.782,0.277,1.249,2.571
11/2021,-2.687,-2.488,-1.291,-1.096,-2.044,-2.217,1.080,-3.533,0.946,-2.695,-0.537
12/2021,-1.398,0.202,0.474,0.769,2.359,1.689,-0.986,0.021,2.225,2.707,0.065
01/2022,-1.302,0.435,0.200,-2.264,-4.683,-1.594,1.738,-0.465,-0.868,0.089,-1.969
02/2022,-1.728,-1.232,2.322,-0.505,0.234,2.256,0.018,-0.566,-1.120,2.090,-1.293
03/2022,-3.625,-0.226,0.892,-0.613,-0.109,-0.495,-1.111,0.227,-1.056,-0.770,-0.545
04/2022,-1.826,-2.274,1.553,-4.003,-2.839,-1.242,-3.634,-3.670,-4.495,-2.239,-3.355
05/2022,0.379,0.805,-1.589,0.681,0.776,-1.088,0.469,-1.601,1.544,0.961,-3.514
06/2022,2.412,0.399,-4.425,-3.633,-8.263,-3.790,-6.366,-3.373,-7.185,-3.807,-3.604
07/2022,-4.582,-1.634,1.337,2.404,2.449,1.029,0.924,2.505,0.708,-0.845,-0.893
08/2022,0.060,-1.758,2.166,-1.136,-1.473,0.208,1.035,-1.320,-0.709,2.159,2.026
09/2022,-6.917,-5.134,-0.308,-5.138,-8.885,-5.064,-8.451,-2.393,-7.597,-2.996,-5.907
10/2022,-8.008,-5.671,0.090,1.267,3.483,1.235,3.783,-0.032,-2.280,0.492,-6.598
11/2022,11.262,9.352,0.253,3.997,6.055,3.570,5.383,4.502,8.712,4.351,2.016
12/2022,2.184,3.379,-2.025,0.056,-2.762,0.631,-0.927,-0.414,-2.520,1.605,-2.218
